cite1,cite2,n
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",23
"Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17","Thissen, D, 1986, PSYCHOMETRIKA, V51, P567, DOI 10.1007/BF02295596",23
"Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",23
"Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",23
"Thissen, D, 1986, PSYCHOL BULL, V99, P118, DOI 10.1037/0033-2909.99.1.118","Thissen, D, 1988, TEST VALIDITY, P147",23
"Wright, BD, 1979, BEST TEST DESIGN","Wright, BD, 1982, RATING SCALE ANAL",23
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",22
"Baker, FB, 2004, ITEM RESPONSE THEORY","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",22
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405",22
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Gelman, A, 2014, AYESIAN DATA ANAL",22
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Hambleton, RK, 2000, ITEM RESPONE THEORY",22
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",22
"Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405","Lord, FM, 2008, STAT THEORIES MENT",22
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X",22
"Camilli, G, 1994, METHODS IDENTIFFING","Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35",22
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Thissen, D, 1988, TEST VALIDITY, P147",22
"Chang, HH, 1996, J EDUC MEAS, V33, P333, DOI 10.1111/J.1745-3984.1996.TB00496.X","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",22
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Meredith, W, 1993, PSYCHOMETRIKA, V58, P525, DOI 10.1007/BF02294825",22
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",22
"Cohen, J, 1994, AM PSYCHOL, V49, P997, DOI 10.1037/0003-066X.50.12.1103","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",22
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",22
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",22
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",22
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",22
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081",22
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",22
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","Hartz, SM, 2002, THESIS",22
"Gelman, A, 2014, AYESIAN DATA ANAL","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",22
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",22
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",22
"Hambleton, RK, 2000, ITEM RESPONE THEORY","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",22
"Hambleton, RK, 2000, ITEM RESPONE THEORY","Rasch, GEORG, 1993, PROBABILISITIC MODEL",22
"Hartz, SM, 2002, THESIS","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",22
"Hartz, SM, 2002, THESIS","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",22
"Hartz, SM, 2002, THESIS","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",22
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",22
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306",22
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Zumbo, BD, 1999, HDB THEORY METHODS D",22
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",22
"Kolen, MJ, 2014, TEST EQUATING LINKIN","Loyd, BH, 1980, J EDUC MEAS, V17, P179, DOI 10.1111/J.1745-3984.1980.TB00825.X",22
"Kolen, MJ, 2014, TEST EQUATING LINKIN","Marco, GL, 1977, J EDUC MEAS, V14, P139, DOI 10.1111/J.1745-3984.1977.TB00033.X",22
"Levine, MV, 1979, J EDUC STATIST, V4, P269, DOI DOI 10.2307/1164595","Molenaar, IW, 1990, PSYCHOMETRIKA, V55, P75, DOI 10.1007/BF02294745",22
"Lord, FM, 2008, STAT THEORIES MENT","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",22
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",22
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",22
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",22
"Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957","Wright, BD, 1979, BEST TEST DESIGN",22
"Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",22
"Muthen, LK, 2018, MPLUS 7 USERS GUIDE","R Core, TEAM, 2019, LANG ENV STAT COMP",22
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","Wright, BD, 1979, BEST TEST DESIGN",22
"Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",22
"Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",22
"Baker, FB, 2004, ITEM RESPONSE THEORY","Lord, FM, 2008, STAT THEORIES MENT",21
"Baker, FB, 2004, ITEM RESPONSE THEORY","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",21
"Bentler, PM, 1980, PSYCHOL BULL, V88, P588, DOI 10.1037/0033-2909.107.2.238","Bentler, PM, 1990, PSYCHOL BULL, V107, P238, DOI 10.1037/0033-2909.107.2.238",21
"Bentler, PM, 1980, PSYCHOL BULL, V88, P588, DOI 10.1037/0033-2909.107.2.238","Bollen, KA, 2014, STRUCRURAL EQUATIONS",21
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",21
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",21
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",21
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533",21
"Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405","Warm, TA, 1989, PSYCHOMETRIKA, V54, P427, DOI 10.1007/BF02294627",21
"Camilli, G, 1994, METHODS IDENTIFFING","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",21
"Camilli, G, 1994, METHODS IDENTIFFING","Zieky, M, 1993, DIFFERENTIAL ITEM FU, P337",21
"Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303","Segall, DO, 1996, PSYCHOMETRIKA, V61, P331, DOI 10.1007/BF02294343",21
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",21
"De Boeck, P, 2004, EXPLANATORY ITEM RES","Fischer, GH, 1973, ACTA PSYCHOL, V37, P359, DOI 10.1016/0001-6918(73)90003-6",21
"de la Torre, J, 2010, J EDUC MEAS, V47, P115, DOI 10.1111/J.1745-3984.2009.00102.X","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",21
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0",21
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",21
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",21
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",21
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",21
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","Wright, BD, 1979, BEST TEST DESIGN",21
"Embretson, SE, 2000, ITEM RESONSE THEORY","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",21
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",21
"Hartz, SM, 2002, THESIS","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",21
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",21
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401",21
"Joreskog, KG, 1971, PSYCHOMETRIKA, V36, P109, DOI 10.1007/BF02291393","Lord, FM, 2008, STAT THEORIES MENT",21
"Kim, SH, 1998, APPL PSYCH MEAS, V22, P131, DOI 10.1177/01466216980222003","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",21
"Kolen, MJ, 2014, TEST EQUATING LINKIN","R Core, TEAM, 2019, LANG ENV STAT COMP",21
"Lord, FM, 2008, STAT THEORIES MENT","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",21
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",21
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Wright, BD, 1979, BEST TEST DESIGN",21
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",21
"Muthen, LK, 2018, MPLUS 7 USERS GUIDE","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",21
"Nandakumar, R, 1993, J EDUC STAT, V18, P41, DOI 10.3102/10769986018001041","Roussos, LA, 1998, J EDUC MEAS, V35, P1, DOI 10.1111/J.1745-3984.1998.TB00525.X",21
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",21
"Roussos, LA, 1998, J EDUC MEAS, V35, P1, DOI 10.1111/J.1745-3984.1998.TB00525.X","Stout, W, 1996, APPL PSYCH MEAS, V20, P331, DOI 10.1177/014662169602000403",21
"Snijders, TAB, 2001, PSYCHOMETRIKA, V66, P331, DOI 10.1007/BF02294437","van Krimpen-Stoop, EMLA, 1999, APPL PSYCH MEAS, V23, P327, DOI 10.1177/01466219922031446",21
"Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821","Stout, W, 2001, ESSAYS ITEM RESPONSE, P357",21
"Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",21
"Thissen, DAVID, 1996, ED MEASUREMENT ISSUE, V15, P22, DOI DOI 10.1111/J.1745-3992.1996.TB00803.X","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",21
"Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",21
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814",20
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","R Core, TEAM, 2019, LANG ENV STAT COMP",20
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",20
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",20
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Warm, TA, 1989, PSYCHOMETRIKA, V54, P427, DOI 10.1007/BF02294627",20
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",20
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Embretson, SE, 2000, ITEM RESONSE THEORY",20
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",20
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Lord, FM, 2008, STAT THEORIES MENT",20
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",20
"Byrne, BM, 2013, STRUCTURAL EQUATING","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",20
"Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303","Veldkamp, BP, 2002, PSYCHOMETRIKA, V67, P575, DOI 10.1007/BF02295132",20
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474",20
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",20
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",20
"De Boeck, P, 2004, EXPLANATORY ITEM RES","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",20
"De Boeck, P, 2004, EXPLANATORY ITEM RES","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",20
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",20
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",20
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",20
"Fan, XT, 2001, EDUC PSYCHOL MEAS, V61, P517, DOI 10.1177/00131640121971365","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",20
"Finch, H, 2005, APPL PSYCH MEAS, V29, P278, DOI 10.1177/0146621605275728","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",20
"Gelfand, AE, 1990, J AM STAT ASSOC, V85, P398, DOI 10.2307/2289776","Gelman, A, 1992, STAT SCI, V7, P472, DOI [DOI 10.1214/SS/1177011136, 10.1214/SS/1177011136]",20
"Gelman, A, 1992, STAT SCI, V7, P472, DOI [DOI 10.1214/SS/1177011136, 10.1214/SS/1177011136]","Geman, S, 1984, IEEE T PATTERN ANAL, V6, P721, DOI 10.1109/TPAMI.1984.4767596",20
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",20
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",20
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306",20
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","von Davier, M, 2007, 0516 ED TEST SERV",20
"Kirk, RE, 1996, EDUC PSYCHOL MEAS, V56, P746, DOI 10.1177/0013164496056005002","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",20
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Loyd, BH, 1980, J EDUC MEAS, V17, P179, DOI 10.1111/J.1745-3984.1980.TB00825.X",20
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",20
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Zwick, R, 1990, J EDUC STAT, V15, P185, DOI 10.3102/10769986015003185",20
"Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",20
"Mulder, J, 2009, PSYCHOMETRIKA, V74, P273, DOI 10.1007/S11336-008-9097-5","Wang, C, 2011, PSYCHOMETRIKA, V76, P13, DOI 10.1007/S11336-010-9186-0",20
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Thissen, D, 1986, PSYCHOMETRIKA, V51, P567, DOI 10.1007/BF02295596",20
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","SCHWARZ G, 1978, ANN STAT, V6, P461, DOI 10.1214/AOS/1176344136",20
"Roussos, LA, 1998, J EDUC MEAS, V35, P1, DOI 10.1111/J.1745-3984.1998.TB00525.X","Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821",20
"Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",20
"Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",20
"Thissen, DAVID, 1996, ED MEASUREMENT ISSUE, V15, P22, DOI DOI 10.1111/J.1745-3992.1996.TB00803.X","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",20
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",19
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",19
"Agresti, A, 2013, CATEGORIACAL DATA AN","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",19
"Agresti, A, 2013, CATEGORIACAL DATA AN","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",19
"Albert, JH, 1992, J EDUC STAT, V17, P251, DOI 10.2307/1165149","Gelman, A, 2014, AYESIAN DATA ANAL",19
"Baker, FB, 2004, ITEM RESPONSE THEORY","Hambleton, RK, 2000, ITEM RESPONE THEORY",19
"Beguin, AA, 2001, PSYCHOMETRIKA, V66, P541, DOI 10.1007/BF02296195","Gelman, A, 2014, AYESIAN DATA ANAL",19
"Bentler, PM, 2015, EQS","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",19
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Bock, RD, 1970, PSYCHOMETRIKA, V35, P179",19
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Mantel, N, 1959, J NATL CANCER I, V22, P719",19
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",19
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Thissen, D, 1988, TEST VALIDITY, P147",19
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE",19
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X",19
"Browne, MW, 1993, TESTING STRUCTURAL E, P132, DOI DOI 10.1177/0049124192021002005","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",19
"Camilli, G, 1994, METHODS IDENTIFFING","Holland, PW, 2012, DIFFERENTIAL ITEM F",19
"Camilli, G, 1994, METHODS IDENTIFFING","Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401",19
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Hartz, SM, 2002, THESIS",19
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",19
"Cohen, J, 1994, AM PSYCHOL, V49, P997, DOI 10.1037/0003-066X.50.12.1103","Schmidt, FL, 1996, PSYCHOL METHODS, V1, P115, DOI 10.1037/1082-989X.1.2.115",19
"Cronbach, LJ, 1951, PSYCHOMETRIKA, V16, P167","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",19
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081",19
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327",19
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Hartz, SM, 2002, THESIS",19
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081",19
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",19
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",19
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",19
"Embretson, SE, 2000, ITEM RESONSE THEORY","R Core, TEAM, 2019, LANG ENV STAT COMP",19
"Gelman, A, 2014, AYESIAN DATA ANAL","Rasch, GEORG, 1993, PROBABILISITIC MODEL",19
"Geman, S, 1984, IEEE T PATTERN ANAL, V6, P721, DOI 10.1109/TPAMI.1984.4767596","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",19
